source,target,weight
0,1,38
0,4,83
0,9,8
0,10,85
0,14,71
0,17,100
0,20,24
0,21,41
0,25,87
0,27,58
0,28,15
0,31,90
0,32,92
0,33,26
0,35,78
0,36,9
0,40,91
0,43,87
0,57,12
0,58,97
0,61,48
0,72,44
0,73,10
0,78,39
0,84,78
0,89,81
0,92,18
0,101,39
0,104,18
0,113,81
0,114,25
0,115,50
0,121,59
0,124,24
0,125,99
0,126,91
0,128,28
0,129,99
0,132,50
0,133,51
0,135,91
0,136,30
0,141,96
0,144,80
0,145,81
0,148,39
0,151,5
0,152,76
0,153,37
0,155,14
0,159,12
0,163,45
0,169,64
0,170,32
0,179,49
0,180,43
0,182,88
0,186,1
0,193,45
0,196,70
0,197,17
0,199,69
0,204,8
0,205,82
0,210,50
0,219,78
0,221,4
0,222,55
0,224,55
0,230,12
0,235,39
0,237,86
0,238,68
0,239,85
0,248,28
0,249,54
0,250,78
0,255,89
1,4,65
1,6,69
1,7,63
1,9,20
1,10,2
1,13,54
1,14,59
1,15,47
1,17,73
1,22,32
1,23,42
1,25,23
1,27,2
1,28,21
1,30,98
1,34,68
1,38,97
1,39,35
1,45,75
1,48,22
1,49,81
1,50,98
1,67,52
1,68,88
1,69,32
1,70,56
1,72,39
1,73,75
1,75,12
1,79,39
1,82,64
1,84,93
1,89,93
1,92,28
1,94,26
1,96,65
1,104,13
1,106,22
1,109,60
1,110,66
1,119,41
1,120,94
1,124,66
1,126,31
1,127,93
1,128,70
1,133,7
1,134,69
1,141,19
1,144,65
1,149,39
1,151,51
1,152,10
1,155,60
1,169,66
1,170,22
1,171,29
1,174,7
1,179,12
1,181,27
1,185,43
1,188,74
1,199,55
1,201,82
1,204,21
1,207,3
1,208,10
1,209,95
1,211,83
1,212,51
1,214,32
1,218,3
1,219,22
1,221,57
1,223,46
1,234,39
1,235,58
1,237,61
1,243,48
1,250,43
1,2,34
2,7,86
2,8,71
2,9,32
2,21,100
2,25,37
2,49,97
2,53,73
2,57,53
2,63,78
2,70,93
2,71,69
2,73,27
2,74,95
2,80,70
2,84,96
2,86,48
2,88,30
2,92,49
2,96,86
2,103,38
2,105,89
2,111,81
2,113,56
2,114,66
2,118,12
2,122,71
2,125,96
2,126,1
2,127,85
2,130,50
2,131,84
2,138,82
2,140,98
2,144,48
2,145,78
2,149,24
2,155,75
2,165,43
