source,target,weight
0,1,100
0,4,46
0,9,22
0,10,47
0,14,86
0,17,7
0,20,65
0,21,11
0,25,87
0,27,62
0,28,8
0,31,3
0,32,46
0,33,11
0,35,10
0,36,82
0,40,90
0,43,40
0,57,41
0,58,78
0,61,33
0,63,6
1,10,26
1,11,14
1,16,41
1,22,3
1,27,90
1,30,53
1,39,79
1,42,22
1,51,55
1,52,80
1,53,60
1,59,47
1,62,8
1,63,23
1,2,50
2,3,49
2,5,6
2,6,3
2,9,55
2,10,79
2,12,87
2,13,62
2,18,75
2,21,89
2,22,57
2,25,34
2,28,53
2,29,72
2,30,31
2,32,35
2,36,28
2,40,95
2,46,26
2,47,57
2,56,54
2,57,17
2,59,22
2,63,2
3,10,54
3,13,16
3,14,46
3,16,76
3,21,77
3,22,2
3,27,85
3,36,89
3,38,74
3,39,71
3,41,37
3,47,47
3,52,27
3,54,25
3,55,65
3,56,8
3,4,79
4,6,1
4,7,99
4,8,85
4,13,90
4,16,73
4,18,59
4,19,20
4,21,93
4,22,84
4,25,99
4,26,12
4,27,46
4,29,80
4,34,48
4,35,56
4,37,23
4,39,80
4,40,85
4,42,59
4,46,83
4,50,46
4,51,90
4,57,72
4,60,27
4,61,40
4,62,57
4,5,52
5,21,6
5,22,25
5,23,19
5,24,80
5,26,83
5,27,46
5,29,98
5,33,31
5,36,68
5,38,35
5,43,6
5,46,35
5,48,98
5,50,75
5,58,10
5,60,71
5,63,71
5,6,95
6,7,78
6,16,40
6,17,70
6,21,45
6,23,4
6,24,15
6,25,23
6,30,41
6,31,29
6,38,70
6,41,48
6,46,68
6,48,43
6,49,60
6,52,43
7,10,99
7,11,1
7,12,54
7,15,58
7,20,75
7,22,25
7,26,72
7,29,61
7,40,60
7,42,44
7,45,76
7,48,47
7,49,16
7,50,56
7,52,65
7,53,22
7,55,84
7,59,24
7,60,8
7,62,15
7,8,66
8,9,96
8,20,32
8,21,86
8,23,82
8,29,23
8,36,89
8,46,81
8,47,21
8,48,16
8,60,13
9,10,3
9,34,7
9,38,78
9,42,36
9,48,98
9,55,83
9,56,40
9,58,12
9,59,39
10,12,12
10,16,15
10,18,32
10,20,12
10,24,54
10,28,86
10,35,31
10,37,72
10,43,31
10,45,67
10,46,12
10,50,87
10,54,38
10,57,15
10,58,9
10,59,67
10,62,45
10,63,52
10,11,5
11,18,86
11,20,83
11,24,12
11,25,89
11,29,17
11,35,27
11,45,22
11,47,26
11,48,45
11,50,60
11,52,5
11,56,11
11,57,41
11,59,71
11,60,74
11,61,25
11,62,94
11,63,45
11,12,52
12,22,18
12,23,35
12,30,63
12,33,43
12,41,6
12,43,45
12,47,23
12,48,84
12,53,54
12,56,54
12,60,82
12,62,10
12,13,52
13,14,56
13,15,73
13,19,19
13,25,33
13,32,50
13,42,44
13,43,47
13,46,53
13,49,47
13,53,39
13,59,47
13,63,51
14,24,35
14,38,67
14,39,73
14,43,34
14,46,74
14,47,17
14,49,48
14,50,80
14,51,25
14,54,4
14,55,87
14,58,16
14,60,13
14,15,70
15,16,89
15,29,38
15,30,82
15,39,77
15,42,6
15,43,24
15,45,54
15,46,54
16,19,52
16,40,2
16,43,30
16,44,81
16,45,69
16,48,95
16,50,39
16,61,48
