source,target,weight
0,1,36
0,4,30
0,9,17
0,10,73
0,14,15
0,17,73
0,20,90
0,21,8
0,25,43
0,27,67
0,28,41
0,31,40
1,2,64
1,3,47
1,5,87
1,6,40
1,10,15
1,13,81
1,27,71
1,28,52
1,31,51
2,13,81
2,14,80
2,19,45
2,25,16
2,30,11
2,3,58
3,5,81
3,14,67
3,17,55
3,26,37
3,27,53
3,28,90
3,4,65
4,7,75
4,10,28
4,11,53
4,12,27
4,14,74
4,15,70
4,18,69
4,19,35
4,21,7
4,22,90
4,27,33
4,30,5
4,31,2
4,5,8
5,8,85
5,11,50
5,12,80
5,13,93
5,15,10
5,19,100
5,23,24
5,29,73
5,30,60
5,6,56
6,14,24
6,15,31
6,17,41
6,21,51
6,28,50
6,31,84
6,7,70
7,8,38
7,10,78
7,15,49
7,16,17
7,21,52
7,30,71
8,9,53
8,10,11
8,12,35
8,18,60
8,23,70
8,25,62
8,26,92
8,27,25
9,14,38
9,15,99
9,16,98
9,21,61
9,24,31
9,26,7
9,27,94
9,29,35
9,30,71
9,10,48
10,12,19
10,13,60
10,14,30
10,16,61
10,21,37
10,22,83
10,24,15
10,26,34
10,27,62
10,29,25
10,11,32
11,13,75
11,17,99
11,18,56
11,24,2
11,27,91
11,28,9
11,29,40
11,12,28
12,27,76
12,28,10
12,29,36
12,30,41
12,13,25
13,14,54
13,15,25
13,17,32
13,21,28
13,24,5
13,26,25
13,31,89
14,17,57
14,19,11
14,21,93
14,29,85
14,31,52
14,15,60
15,18,21
15,19,87
15,28,8
15,29,3
15,16,88
16,18,39
16,20,44
16,21,76
16,22,97
16,27,46
16,28,21
16,17,52
17,21,15
17,24,98
17,29,49
17,31,47
17,18,59
18,19,82
18,22,15
19,24,2
19,25,13
19,26,63
19,29,29
19,20,71
20,23,90
20,25,6
20,29,32
20,21,57
21,22,35
22,24,17
22,26,3
22,29,21
22,23,27
23,24,37
23,25,18
23,26,25
23,28,82
23,29,96
23,31,97
24,28,78
24,29,97
24,31,99
24,25,38
25,27,37
25,26,64
26,27,74
27,29,30
27,30,70
27,28,47
28,29,3
29,30,38
30,31,29
